hs10,hs10_desc,wave,effective_date,tariff
"0302430000","SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FR/CH, EXCEPT FILLET, LIVER, ROE","China",24sep2018,.1
"0302440000","MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302451100","JACK AND HORSE MACKEREL , FRESH/CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302455000","JACK AND HORSE MACKEREL, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304","China",24sep2018,.1
"0302461100","COBIA, FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302465000","COBIA, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302470000","SWORDFISH (XIPHIAS GLADIUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS OR ROE","China",24sep2018,.1
"0302470010","SWORDFISH STEAKS, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302470090","SWORDFISH, FRESH OR CHILLED, EXCEPT SWORDFISH STEAKS, FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302490000","INDIAN MACKRLS,SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, PACIFIC SAURY,SCADS,CAPELIN,KAWAKAWA, BONITOS,MARLINS,SAILFISHES,SPEARFISH,FRESH/CHILLED","China",24sep2018,.1
"0302510000","COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), EXCLUDING FILLETS, LIVERS AND ROES, FRESH OR CHILLED","China",24sep2018,.1
"0302510010","ATLANTIC COD (GADUS MORHUA), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302510090","COD (GADUS OGAC, GADUS MACROCEPHALUS), FRESH OR CHILLED, EXCEPT ATLANTIC COD, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302520000","HADDOCK (MELANOGRAMMUS AEGLEFINUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302530000","ATLANTIC POLLOCK (POLLACHIUS VIRENS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302541100","HAKE, FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302545000","HAKE, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302591100","FISH OF FAMILES BREGMACEROTIDAE, ETC; FR/CH, SCALED, IN CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302595010","POLLOCK, FRESH OR CHILLED, EXCEPT ALANTIC POLLOCK, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302595090","FISH OF FAMILIES BREGMACEROTIDAE, ETC; FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302711100","TILAPIAS, FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302715000","TILAPIAS, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302721100","CATFISH, FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302725004","PANGASIUS SPP.,  INCLUDING BASA AND TRA, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302725034","CATFISH, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302735000","CARP, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302740000","EELS (ANGUILLA SPP.), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302795025","NILE PERCH, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302795076","SNAKEHEADS, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302810010","DOGFISH (SQUALUS SPP.), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302810011","DOGFISH (SQUALUS SPP.), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302810090","SHARKS, FRESH OR CHILLED, EXCEPT DOGFISH, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302810091","SHARKS, FRESH OR CHILLED, EXCEPT DOGFISH, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302820000","RAYS AND SKATES, FRESH OR CHILLED, EXCLUDING FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302830000","TOOTHFISH (DISSOSTICHUS SPP.), FRESH OR CHILLED, EXCLUDING FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302841100","SEABASS, FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302845000","SEABASS, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302851100","SEABREAM (SPARIDAE), FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302855000","SEABREAM, FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302891120","SABLE FISH (ANOPLOPOMA FIMBRIA), FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS, ROES","China",24sep2018,.1
"0302891140","FISH, FRESH OR CHILLED, SCALED, IN IMMEDIATE CONTAINERS WEIGHING WITH THEIR CONTENTS 6.8 KG OR LESS, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895007","PIKE, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895010","PICKEREL, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895013","PIKE PERCH (INCLUDING YELLOW PIKE), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895025","PERCH (EXCEPT PIKE OR NILE PERCH), FRESHWATER, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895028","BASS, FRESHWATER, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895031","WHITEFISH, FRESHWATER, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895034","FISH, FRESHWATER, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895037","SMELTS, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895040","CUSK, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895049","SHAD AND STURGEON, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895052","SABLE FISH (ANOPLOPOMA FIMBRIA), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895055","OCEAN PERCH, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895058","SNAPPER (LUTJANIDAE SPP.), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895061","GROUPER, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895064","LINGCOD (OPHIODON ELONGATUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895067","MONKFISH (LOPHIUS SPP.), FRESH OR CHILLED, EXCLUDING FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0302895070","ATKA MACKERAL (ATKAFISH; PLEUROGRAMMUS MONOPTERYIUS), FRESH OR CHILLED, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0302895072","DOLPHIN FISH (MAHI MAHI) (CORYPHAENA SPP.), FRESH OR CHILLED, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302895076","FISH, FRESH OR CHILLED, OTHER THAN FRESHWATER, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302895077","FISH, FRESH OR CHILLED, OTHER THAN FRESHWATER, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304, NESOI","China",24sep2018,.1
"0302914010","MULLET ROE, FRESH OR CHILLED","China",24sep2018,.1
"0302914090","FISH LIVERS AND ROES, FRESH OR CHILLED, NESOI","China",24sep2018,.1
"0302920000","SHARK FINS, FRESH OR CHILLED, EXCEPT FILLETS","China",24sep2018,.1
"0302990000","OTHER EDIBLE FISH OFFAL, FRESH OR CHILLED, NESOI","China",24sep2018,.1
"0303110000","SOCKEYE (RED) SALMON (ONCORHYNCHUS NERKA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303120012","CHINOOK (KING) SALMON (ONCORHYNCHUS TSCHAWYTSCHA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303120022","CHUM (DOG) SALMON (ONCORHYNCHUS KETA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303120032","PINK (HUMPIE) SALMON (ONCORHYNCHUS GORBUSCHA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303120052","COHO (SILVER) SALMON (ONCORHYNCHUS KISUTCH), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303120062","PACIFIC SALMON (ONCORHYNCHUS MASOU, ONCORHYNCHUS RHODURUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303130000","ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303140000","TROUT (SALMO TRUTTA; ONCORHYNCHUS MYKISS, CLARKI, AGUABONITA, GILAE, APACHE AND CHRYSOGASTER), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303190100","SALMONIDAE, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303230000","TILAPIA (OREOCHROMIS SPP.), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303240000","CATFISH, FROZEN, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304","China",24sep2018,.1
"0303240010","ICTALURUS SPP, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303240020","PANGASIUS SPP, INCLUDING BASA AND TRA, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303240050","CATFISH (SILURUS SPP. OR CLARIAS SPP.), FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303250100","CARP, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303260000","EELS (ANGUILLA SPP.), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303290100","NILE PERCH (LATES NILOTICUS) AND SNAKEHEADS (CHANNA SPP.), FROZEN, EXCLUDING LIVERS, ROES AND FILLETS","China",24sep2018,.1
"0303290110","NILE PERCH, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303290150","SNAKEHEADS, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303310010","ATLANTIC HALIBUT (HIPPOGLOSSUS HIPPOGLOSSUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303310015","ATLANTIC AND PACIFIC HALIBUT (HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS AND ROES, FROZEN","China",24sep2018,.1
"0303310020","PACIFIC HALIBUT (HIPPOGLOSSUS STENOLEPIS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303310030","GREENLAND TURBOT (GREENLAND HALIBUT; REINHARDTIUS HIPPOGLOSSOIDES), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303320000","PLAICE (PLEURONECTES PLATESSA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303330000","SOLE (SOLEA SPP.), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303340000","TURBOTS, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303390110","FLOUNDER, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303390120","ROCK SOLE (PLEURONECTES BILINEATUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303390130","YELLOWFIN SOLE (PLEURONECTES ASPER), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303390160","FLAT FISH, EXCLUDING FILLETS, LIVER, & ROES, FROZEN, NESOI","China",24sep2018,.1
"0303390195","FLAT FISH, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303410000","ALBACORE OR LONGFINNED TUNAS (THUNNUS ALALUNGA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303420000","YELLOWFIN TUNAS, (THUNNUS ALBACARES), EXCLUDING FILLETS, LIVERS AND ROES, FROZEN","China",24sep2018,.1
"0303420020","YELLOWFIN TUNAS (THUNNUS ALBACARES), WHOLE, FROZEN","China",24sep2018,.1
"0303420040","YELLOWFIN TUNAS (THUNNUS ALBACARES), HEAD-ON, FROZEN, EXCEPT WHOLE","China",24sep2018,.1
"0303420060","YELLOWFIN TUNAS (THUNNUS ALBACARES) FROZEN, EXCEPT WHOLE, HEAD-ON, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303430000","SKIPJACK TUNAS (EUTHYNNUS PELAMIS) OR STRIPE-BELLIED BONITO (KATSUWONUS PELAMIS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303440000","BIGEYE TUNAS (THUNNUS OBESUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303450100","ATLANTIC AND PACIFIC BLUEFIN TUNAS, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303450110","BLUEFIN TUNAS (THUNNUS THYNNUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303450150","THUNNUS ORIENTALIS (PACIFIC BLUEFIN TUNA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303460000","SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303490200","TUNAS (OF THE GENUS THUNNUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES, NESOI","China",24sep2018,.1
"0303510000","HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303530000","SARDINES (SARDINA PILCHARDUS, SARDINOPS SPP.), SARDINELLA (SARDINELLA SPP.), BRISLING OR SPRATS (SPRATTUS SPRATTUS), FRZN EXCEPT FILLET, LIVER AND ROE","China",24sep2018,.1
"0303540000","MACKEREL (SCOMBER SCOMBRUS, SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303550000","JACK AND HORSE MACKEREL, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303560000","COBIA, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303570000","SWORDFISH (XIPHIAS GLADIUS), FROZEN, EXCEPT FILLETS, LIVERS, ROE","China",24sep2018,.1
"0303570010","SWORDFISH STEAKS, FROZEN, EXCEPT FILLETS","China",24sep2018,.1
"0303570090","SWORDFISH, FROZEN, EXCEPT STEAKS, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303590000","FISH, FROZEN, EXCEPT FILLETS, LIVERS AND ROES, HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)","China",24sep2018,.1
"0303630000","COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303630010","ATLANTIC COD (GADUS MORHUA), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303630090","COD (GADUS OGAC, GADUS MACROCEPHALUS), FROZEN, EXCEPT ATLANTIC, FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303640000","HADDOCK (MELANOGRAMMUS AEGLEFINUS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303650000","ATLANTIC POLLOCK (POLLACHIUS VIRENS), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303660000","WHITING (MERLUCCIUS SPP.) AND HAKE (UROPHYCIS SPP.), FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
"0303670000","ALASKA POLLOCK (THERAGRA CHALCOGRAMMA), FROZEN, EXCLUDING LIVERS, ROES, FILLETS AND OTHER FISH MEAT OF HEADING 0304","China",24sep2018,.1
"0303680000","BLUE WHITINGS, FROZEN, EXCEPT FILLETS, LIVERS AND ROES","China",24sep2018,.1
